Reviews,First Name,Last Name,Avg Difficulty,Avg Rating,Department,Comment,Difficulty Rating,Grade,Clarity Rating,Rating Tags
1,Jianmin,Cui,4,1,Engineering,"One of the worst professors I have had at WashU. Very very boring lectures and homework is reading entire chapters of a long, dry textbook. His exam was very poorly worded and graded completely unfairly. Had the audacity to say &quot;grades don't really matter in grad level classes, don't worry about it&quot; after giving out C's.",4,,1,Get ready to read--Tough grader
2,Dennis,Barbour,5,4.9,Engineering,QP is the hardest class you will ever take.   Barbour is the most educated and well poised professor you'll ever have.,5,,5,
3,Dennis,Barbour,5,4.9,Engineering,"Unique lecturing style - always on the lookout to help students, although he will NOT spoonfeed you answers. Arguably the best professor in the BME department.",5,,5,
4,Dennis,Barbour,5,4.9,Engineering,great professor take advantage of his office hours,5,,5,
5,Dennis,Barbour,5,4.9,Engineering,No Comments,5,,5,
6,Cory,Berkland,2,3.5,Engineering,100% clear; he doesn't try to surprise you.,3,Not sure yet,4,Graded by few things--Test heavy
7,Cory,Berkland,2,3.5,Engineering,"Awesome professor, extremely helpful, grades easy.",2,,4,
8,Cory,Berkland,2,3.5,Engineering,"Do not get the digital book like he recommends, allows open book tests for people without the digital copy but doesn't mention it until the day before",3,,2,
9,Cory,Berkland,2,3.5,Engineering,"A very nice guy.  Not always the best teacher, but he is very personable and seems to care about students.  Since starting Chemical Engineering, the only professor that I would consider a regular guy that teaches on a level that is accesable to every student.",1,,4,
10,Cory,Berkland,2,3.5,Engineering,No Comments,1,,5,
11,Cory,Berkland,2,3.5,Engineering,"Not the best teacher in class. The class was really boring and incredibly easy. Didn't always cover material that was on the tests, at least not as in depth as it should have been. One on one, he was sort of helpful, but still not the greatest.",2,,2,
12,Hong,Chen,2,5,Engineering,"Excellent professor! Very passionate about what she teaches. The grading is fair and considerate. Your score reflects your understanding, and you final grade reflects your overall effort. She doesn't have all the answers to all your questions, but she's willing to learn and get back to you later. Very professional and caring to her students.",2,A-,5,Amazing lectures --Inspirational--Caring
13,Joe,Klaesner,4.4,2,Engineering,"Dr. Klaesner is a tough professor, but he is very knowledgeable. I think you get out what ef",5,A+,5,Gives good feedback
14,Joe,Klaesner,4.4,2,Engineering,"First, our dean has stopped him from researching. For teaching, he is very uncaring, uses mostly outdated materials, and is very condescending to students. He does not use a clear rubric and takes off points because HE thinks the project isn't good, given HIS experience. Has the lowest score in official course evalutation of the entire eng school.",5,Rather not say,1,Tough grader--Graded by few things
