,Course ID,Course Title,Course Credits,Description,ARTSCI,ARCH,ART,EN,BU,Section,Day,Time,Building,Instructor,Final Exam,Seats,Enroll,WaitList
0,L90 AFAS 1002,Foundations in African & African-American Studies,1.0 Unit,"Designed to introduce the student to issues in African & African American Studies and how students with AFAS degrees utilize their knowledge in graduate and professional programs or the working world. Particular attention will be paid to the discipline of African & African American studies, which engages with the artistic, cultural, historical, literary, and theoretical expressions of the peoples and cultures of Africa and the African Diaspora. Faculty members as well as Saint Louis professionals will give one-hour lectures on their particular disciplinary approach, their research, or their professional life. Students will be required to attend 3 outside lectures or performances. May be taken before declaring major, and may be taken by non-majors.",HUM ,HUM ,CPSC HUM ,H ,,01,M------,4:00P-5:20P,TBA,Toliver-Diallo,See instructor,30,0,0
1,L90 AFAS 103D,Beginning Swahili I,5.0 Units,"This course is the first in a two-course sequence at the beginning level of Swahili. Designed to provide rapid acquisition of conversational skills, written expression, and reading comprehension, the course also introduces students to various aspects of culture across the Swahili-speaking countries in east and central Africa. The course also focuses on contemporary Swahili expressions in music, social media, Hollywood productions, advertising, political campaigns, and youth slang. Additionally, students will participate in community-based learning projects that entail teaching and mentoring Swahili-speaking refugees at a St. Louis public school. The course also prepares students for study abroad in any of the dozen Swahili-speaking countries in Africa.",LCD LS ,,,H ,HUM ,01,TBA,,TBA,Mutonya,Dec 12 2024  1:00PM -  3:00PM,10,0,0
2,L90 AFAS 1045,Wolof Language and Culture,3.0 Units,"This course introduces students to Wolof language and culture. Wolof is a West African language spoken in Senegal and the Gambia. It is also spoken on a smaller scale in Mauritania, Mali, French Guinea, and in the migrant communities in the US and France. This is the first course of a beginning-level of a Wolof program. In order to acquire a basic proficiency, students will practice speaking, reading, writing and listening. Each module will begin with a thematic and practical dialogue from which we can study vocabulary, aspects of grammar as well as a cultural lesson. Interactive material, including texts, images, videos, films, and audio, will be provided. Its aim is to provide students with knowledge of the basic structures of the language and the ability to communicate. Students will also learn important aspects of life and culture of the Wolof.",LCD ,,,H ,HUM ,01,-T-R---,10:00A-11:20A,TBA,DIALLO,Dec 12 2024  1:00PM -  3:00PM,5,0,0
3,L90 AFAS 144,First-Year Seminar: Monumental Anti-Racism,3.0 Units,"As sources of national memory and identity, public monuments, place names, historical markers, and other elements of commemorative landscapes are potential sites of cultural violence (e.g., alienation, disrespect, and erasure) contributing to broader conflict and inequality, and therefore important considerations in movements for equal opportunity and justice. Some contend that memory sites are ""the new lunch counters,"" where our racial politics are worked out. This course examines the racial politics of commemorative objects and practices, and commemorative intervention as a strategy of anti-racist activism. We begin with an historical survey of various ways that racism has been inscribed on the commemorative landscape, and readings in history, political theory, cultural studies, and other fields to gain insight on these contested commemorative objects, their development, and social significance. We then turn to a critical assessment of efforts to remove and recontextualize commemorative objects, and to erect new objects commemorating neglected figures and issues. We consider how these reparative efforts relate to what political theorists call remedies of recognition, and specifically how they might aid in advancing equal opportunity and justice. Through our study and engagement with contested commemorative landscapes, including local, national, and global cases, students will become familiar with the burgeoning interdisciplinary field of memory studies, diverse forms and sites of commemoration, local and global efforts to advance what has been termed ""commemorative justice,"" and challenges they face.",HUM SC ,HUM ,CPSC HUM ,H ,BA ,01,---R---,3:00P-5:50P,TBA,Ward,Paper/Project/TakeHome,15,0,0
4,L90 AFAS 178,"First-Year Seminar: Imagining and Creating Africa: Youth, Culture, and Change",3.0 Units,"The goal of this course is to provide a glimpse into how youth reshape African society. Whether in North Africa with the Arab Spring, in West Africa with university strikes, or in East Africa through a linguistic full bloom, youth have been shaping social responses to societies for a long period. In this course, we will study social structures, including churches, NGOs, developmental agencies as well as learn about examples of Muslim youth movements, and the global civil society. The course will also explore how youth impact cultural movements in Africa and how they influence the world. In particular, we will examine Hip-Hop movements, sports, and global youth culture developments that center on fashion, dress, dance, and new technologies. By the end of the course, students will have enriched ideas about youth in Africa and ways to provide more realistic comparisons to their counterparts in the United States. Course is for first-year, non-transfer students only.",LCD ,,,H ,IS ,01,-T-R---,1:00P-2:20P,TBA,DIALLO,Paper/Project/TakeHome,15,0,0
5,L90 AFAS 203D,Intermediate Swahili III,3.0 Units,"This course is the first in a two-course sequence at the intermediate level of Swahili. Designed to enhance Swahili skills acquired at the beginning level, the course emphasizes conversation practice and vocabulary enrichment that enables a learner to use contemporary Swahili in different situations. A broad range of authentic Swahili texts will be introduced. Learners will continue to interact meaningfully with Swahili speakers in St. Louis during community-based learning at a refugee school and elsewhere. Prereq: AFAS 103DQ-104DQ or the equivalent.",LCD LS ,,,H ,HUM ,01,-T-R---,2:30P-3:50P,TBA,Mutonya,No final,10,0,0
6,L90 AFAS 204D,Intermediate Swahili IV,3.0 Units,"Fourth semester Swahili language course emphasizes the development of the ability to discuss a wide range of cultural and literary topics with native speakers of the language. These topics are introduced by reading authentic Swahili texts such as plays, novels, poems and newspaper. Students enhance their writing skills and creativity in the language through group-writing projects. PREREQ, Swahili 103D(Q), 104D(Q) and 203 D(Q).",LCD LS ,,,H ,HUM ,01,-T-R---,2:30P-3:50P,TBA,Mutonya,Dec 12 2024  1:00PM -  3:00PM,10,0,0
7,L90 AFAS 211,Blackness and the Politics of Recognition in Latin America,3.0 Units,"In 2015, for the first time in Mexico's history, there was an official count of its population of African descent, thus leaving Chile as the only nation in the hemisphere not have done this. A year prior, Brazil introduced a quota system for all federal jobs, leading to new questions about who qualifies for these positions. These examples and more highlight a new era in Latin America that questions who counts -- both literally as with censuses and figuratively as with affirmative action -- as Afro-descended in a region characterized by racial mixture. In this course, we will analyze the new turn toward racial governance as we grapple with the following questions: How does the racial governance of the 21st century upend or echo the racial governance of the colonial era? How does this new era affect our understanding of race and identity? What is lost and gained by counting people as black? For AFAS majors, this course counts as Area Requirement 4.",LCD SSC ,SSC SSP ,SSC SSP ,S ,BA IS ,01,-T-R---,10:00A-11:20A,TBA,Frierson,Paper/Project/TakeHome,15,0,0
8,L90 AFAS 2151,"St. Louis Black History, Culture and Civic Engagement",3.0 Units,"Discover the stories of Black Saint Louisans and their contributions to the city, the region, and the nation. From Dred and Harriet Scott to J. D. and Ethel Lee Shelley, from Scott Joplin to Chuck Berry, from James Milton Turner to Tishaura Jones, the course will engage first-hand accounts and innovative scholarship to examine St. Louis's deep and rich history of Black life, culture, resistance, and civic engagement that has shaped the city for three centuries. Beyond the classroom, students will experience this history through visits to key sites in the city's African American past, tour local Black museums, and learn directly from area history-makers and custodians of African American history. Students will apply their learning through collaborative work with a community partner that elevates histories of the African American experience in St. Louis.",HUM ,,,H ,HUM ,01,-T-R---,11:30A-12:50P,TBA,Schmidt,Paper/Project/TakeHome,19,0,0
9,L90 AFAS 2153,Topics in African American Studies: Afro-Latin America on Camera,3.0 Units,"In this course, we will see how the camera, in still and moving photography, has served to register blackness in Latin America as a structure, experience, and representation frequently neglected in popular media. Starting with the images of enslavement and freedom in the form of painting, sketches, prints, daguerrotypes, and other early photographs in nineteenth-century Latin America, we will explore how the camera has marked the passing of time and created racial histories-actual and fictional-that educate us, move us, and influence how governments make policy. We will view an array of films, video, and still photography, across multiple genres, that center the histories and present-day joys and struggles of black people in Latin America while actively considering how our own consumption of media informs our racial perceptions of Latin America. The work that we view and read about will be used to question Latin America's perceived racial exceptionalism narratives, such as mestizaje, mulatismo, and racial democracy, and how they depend on sugarcoated histories of race mixture during slavery and colonization. This course will also focus heavily on how image-making becomes a persuasive means to make one's blackness known in the framework of the Latin America nation-state, to stake claims to rights, and to document black life in productive, pleasurable ways that do not always center the ongoing gentrification, annihilation, and genocide of black communities.",HUM LCD SC ,HUM ,HUM VC ,H ,BA ETH ,01,M-W----,2:30P-3:50P,TBA,Mundell,Paper,15,0,0
