,Course ID,Course Title,Course Credits,Description,ARTSCI,ARCH,ART,EN,BU,Section,Day,Time,Building,Instructor,Final Exam,Seats,Enroll,WaitList
0,B50 ACCT 2610,Principles of Financial Accounting,3.0 Units,"Provides an overview of the financial accounting reporting process, with a primary focus on the analysis of economic events and their effect on the major financial statements (balance sheet, income statement, and statement of cash flows). Prerequisite: second semester freshman standing.",,,,,,01,M-W----,8:30A-9:50A,Simon / 105   ,Jennings,Dec 16 2024  8:00AM - 10:00AM,49,0,0
1,B50 ACCT 2610,Principles of Financial Accounting,3.0 Units,"Provides an overview of the financial accounting reporting process, with a primary focus on the analysis of economic events and their effect on the major financial statements (balance sheet, income statement, and statement of cash flows). Prerequisite: second semester freshman standing.",,,,,,02,M-W----,10:00A-11:20A,Simon / 105   ,Jennings,Dec 16 2024  8:00AM - 10:00AM,49,0,0
2,B50 ACCT 2610,Principles of Financial Accounting,3.0 Units,"Provides an overview of the financial accounting reporting process, with a primary focus on the analysis of economic events and their effect on the major financial statements (balance sheet, income statement, and statement of cash flows). Prerequisite: second semester freshman standing.",,,,,,03,M-W----,11:30A-12:50P,Simon / 105   ,Jennings,Dec 16 2024  8:00AM - 10:00AM,49,0,0
3,B50 ACCT 2610,Principles of Financial Accounting,3.0 Units,"Provides an overview of the financial accounting reporting process, with a primary focus on the analysis of economic events and their effect on the major financial statements (balance sheet, income statement, and statement of cash flows). Prerequisite: second semester freshman standing.",,,,,,04,-T-R---,8:30A-9:50A,Bauer / 130   ,Laporte,Dec 16 2024  8:00AM - 10:00AM,49,0,0
4,B50 ACCT 2610,Principles of Financial Accounting,3.0 Units,"Provides an overview of the financial accounting reporting process, with a primary focus on the analysis of economic events and their effect on the major financial statements (balance sheet, income statement, and statement of cash flows). Prerequisite: second semester freshman standing.",,,,,,05,-T-R---,11:30A-12:50P,Bauer / 130   ,STAFF,Dec 16 2024  8:00AM - 10:00AM,49,0,0
5,B50 ACCT 2620,Principles of Managerial Accounting,3.0 Units,"Emphasis on the accumulation and analysis of data for internal decision makers. Introduces the vocabulary and mechanics of managerial accounting and accounting techniques used by internal managers in planning, directing, controlling, and decision-making activities within their organizations. Prerequisite: ACCT 2610.",,,,,,01,M-W----,10:00A-11:20A,Bauer / 230   ,Kaplan,See instructor,42,0,0
6,B50 ACCT 2620,Principles of Managerial Accounting,3.0 Units,"Emphasis on the accumulation and analysis of data for internal decision makers. Introduces the vocabulary and mechanics of managerial accounting and accounting techniques used by internal managers in planning, directing, controlling, and decision-making activities within their organizations. Prerequisite: ACCT 2610.",,,,,,02,M-W----,1:00P-2:20P,Simon / 113   ,Kaplan,See instructor,42,0,0
7,B50 ACCT 2620,Principles of Managerial Accounting,3.0 Units,"Emphasis on the accumulation and analysis of data for internal decision makers. Introduces the vocabulary and mechanics of managerial accounting and accounting techniques used by internal managers in planning, directing, controlling, and decision-making activities within their organizations. Prerequisite: ACCT 2610.",,,,,,03,M-W----,2:30P-3:50P,Simon / 113   ,Kaplan,See instructor,42,0,0
8,B50 ACCT 2620,Principles of Managerial Accounting,3.0 Units,"Emphasis on the accumulation and analysis of data for internal decision makers. Introduces the vocabulary and mechanics of managerial accounting and accounting techniques used by internal managers in planning, directing, controlling, and decision-making activities within their organizations. Prerequisite: ACCT 2610.",,,,,,04,-T-R---,2:30P-3:50P,Simon / 107   ,Palmer,Exam last day of class,42,0,0
9,B50 ACCT 3610,Intermediate Financial Accounting Theory I,3.0 Units,"The first of a two-course sequence in corporate financial reporting. Examines the environment of financial accounting, the standards-setting process, and the conceptual framework that underlies financial accounting in the United States. Topics: review accounting basics, events and transactions that impact financial statements, comprehension of corporate financial reports, and examination of political and economic factors influencing accounting policy. Prerequisite: ACCT 2610.",,,,,,01,-T-R---,8:30A-9:50A,Simon / 103   ,Jennings,See department,45,0,0
