,Course ID,Course Title,Course Credits,Description,ARTSCI,ARCH,ART,EN,BU,Section,Day,Time,Building,Instructor,Final Exam,Seats,Enroll,WaitList
0,E62 BME 220,Introduction to Biomedical Circuits,4.0 Units,"Electricity is central to normal and abnormal biological function, spanning scales from the subcellular to whole systems. Scientists and engineers also use electrical engineering to design and implement interaction with biological tissue, from classical physiological experiments to cutting-edge brain-computer interfaces. This course will begin study of bioelectrical engineering, by introducing simple electrical elements, circuits, amplifiers, and instrumentation. Relevant biological examples and computer modeling will be used throughout. The lab component will provide hands-on laboratory practice with simple electrical elements, circuits, amplifiers, instrumentation, and computer modeling, with a focus on biomedical applications. BME 220 fulfills the circuits requirement for BME students in place of ESE 230. Prerequisite: L31 Phys 192/192L; Corequisite: L24 Math 217",,,,TU 4.00 ,,01,-T-R---,1:00P-2:20P,Brauer Hall / 012   ,"Thoroughman, Klaesner, O'Brien",Dec 17 2024  1:00PM -  3:00PM,72,0,0
1,E62 BME 220,Introduction to Biomedical Circuits,4.0 Units,"Electricity is central to normal and abnormal biological function, spanning scales from the subcellular to whole systems. Scientists and engineers also use electrical engineering to design and implement interaction with biological tissue, from classical physiological experiments to cutting-edge brain-computer interfaces. This course will begin study of bioelectrical engineering, by introducing simple electrical elements, circuits, amplifiers, and instrumentation. Relevant biological examples and computer modeling will be used throughout. The lab component will provide hands-on laboratory practice with simple electrical elements, circuits, amplifiers, instrumentation, and computer modeling, with a focus on biomedical applications. BME 220 fulfills the circuits requirement for BME students in place of ESE 230. Prerequisite: L31 Phys 192/192L; Corequisite: L24 Math 217",,,,TU 4.00 ,,A,-T-----,4:00P-5:20P,Brauer Hall / 2011  ,"Klaesner, O'Brien",Default - none,36,0,0
2,E62 BME 220,Introduction to Biomedical Circuits,4.0 Units,"Electricity is central to normal and abnormal biological function, spanning scales from the subcellular to whole systems. Scientists and engineers also use electrical engineering to design and implement interaction with biological tissue, from classical physiological experiments to cutting-edge brain-computer interfaces. This course will begin study of bioelectrical engineering, by introducing simple electrical elements, circuits, amplifiers, and instrumentation. Relevant biological examples and computer modeling will be used throughout. The lab component will provide hands-on laboratory practice with simple electrical elements, circuits, amplifiers, instrumentation, and computer modeling, with a focus on biomedical applications. BME 220 fulfills the circuits requirement for BME students in place of ESE 230. Prerequisite: L31 Phys 192/192L; Corequisite: L24 Math 217",,,,TU 4.00 ,,B,-T-----,4:00P-5:20P,Whitaker / 135   ,"Klaesner, O'Brien",Default - none,36,0,0
3,E62 BME 220L,Biomedical Circuits Laboratory,1.0 Unit,This course covers the lab portion only of E62 BME220. It is open only to those students who have completed an approved lecture-only circuits course and who need to fulfill the circuits lab requirement for the BS-BME degree. Students wishing to enroll will be placed on a waitlist and reviewed by the BME department..,,,,TU 1.00 ,,01,-T-----,4:00P-5:20P,Brauer Hall / 2011  ,O'Brien,Default - none,0,0,0
4,E62 BME 240,Biomechanics,3.0 Units,"Principles of static equilibrium and solid mechanics applied to the human anatomy and a variety of biological problems. Statics of rigid bodies with applications to the musculoskeletal system. Mechanics of deformable media (stress, strain; stretching, torsion, and bending) with introduction to nonlinear behavior, viscoelasticity, and growth in living tissue. Applications to cells, bone, muscle, arteries, the heart, and the cochlea. Prerequisites: L31 Phys 191 or 193",,,,TU 3.00 ,,01,-T-R---,2:30P-3:50P,Whitaker / 218   ,"Shao, J-Y, Setton, L",Dec 18 2024  3:30PM -  5:30PM,52,0,0
5,E62 BME 240L,Biomechanics Laboratory,1.0 Unit,"This course will consist of hands-on laboratory experiments in topics relevant to bioengineering mechanics such as statics of rigid bodies, viscoelasticity, and stress/strain analysis of biological materials. A focus of the course will be extending fundamental mechanical principles to biological applications through experimentation. The course is designed to follow and enhance the material covered in BME 240. Additionally, students will have the opportunity to design their own experiments, explore topics of special interest, and present their findings. Prerequisites: Concurrent or completed BME 240",,,,TU 1.00 ,,01,---R---,8:30A-11:20A,Brauer Hall / 2011  ,Widder,No final,30,0,0
6,E62 BME 301A,Quantitative Physiology I,4.0 Units,"A course (lectures, recitation and supervised laboratory sections) designed to elaborate the physiological background necessary for advanced work in biomedical engineering. A quantitative model-oriented approach to physiological systems is stressed. Topics include bioinstrumentation, eye movement, muscle mechanics, action potentials, sensory systems, neuroprosthetics. Prerequisites: BME 140, CSE 131, ESE 230, Biol 3058 (Previously Biol 3050 or 3059), ESE 319, or permission of instructor.",,,,TU 4.00 ,,01,-T-R---,1:00P-2:20P,Whitaker / 100   ,"Widder, Silva, Barbour, D",Exam last day of class,108,0,0
7,E62 BME 301A,Quantitative Physiology I,4.0 Units,"A course (lectures, recitation and supervised laboratory sections) designed to elaborate the physiological background necessary for advanced work in biomedical engineering. A quantitative model-oriented approach to physiological systems is stressed. Topics include bioinstrumentation, eye movement, muscle mechanics, action potentials, sensory systems, neuroprosthetics. Prerequisites: BME 140, CSE 131, ESE 230, Biol 3058 (Previously Biol 3050 or 3059), ESE 319, or permission of instructor.",,,,TU 4.00 ,,A,---R---,2:30P-6:20P,Whitaker / 130   ,"Widder, Barbour",Default - none,28,0,0
8,E62 BME 301A,Quantitative Physiology I,4.0 Units,"A course (lectures, recitation and supervised laboratory sections) designed to elaborate the physiological background necessary for advanced work in biomedical engineering. A quantitative model-oriented approach to physiological systems is stressed. Topics include bioinstrumentation, eye movement, muscle mechanics, action potentials, sensory systems, neuroprosthetics. Prerequisites: BME 140, CSE 131, ESE 230, Biol 3058 (Previously Biol 3050 or 3059), ESE 319, or permission of instructor.",,,,TU 4.00 ,,B,---R---,2:30P-6:20P,Brauer Hall / 2011  ,"Widder, Barbour",Default - none,26,0,0
9,E62 BME 301A,Quantitative Physiology I,4.0 Units,"A course (lectures, recitation and supervised laboratory sections) designed to elaborate the physiological background necessary for advanced work in biomedical engineering. A quantitative model-oriented approach to physiological systems is stressed. Topics include bioinstrumentation, eye movement, muscle mechanics, action potentials, sensory systems, neuroprosthetics. Prerequisites: BME 140, CSE 131, ESE 230, Biol 3058 (Previously Biol 3050 or 3059), ESE 319, or permission of instructor.",,,,TU 4.00 ,,C,----F--,9:00A-12:50P,Whitaker / 130   ,"Widder, Barbour",Default - none,24,0,0
10,E62 BME 301A,Quantitative Physiology I,4.0 Units,"A course (lectures, recitation and supervised laboratory sections) designed to elaborate the physiological background necessary for advanced work in biomedical engineering. A quantitative model-oriented approach to physiological systems is stressed. Topics include bioinstrumentation, eye movement, muscle mechanics, action potentials, sensory systems, neuroprosthetics. Prerequisites: BME 140, CSE 131, ESE 230, Biol 3058 (Previously Biol 3050 or 3059), ESE 319, or permission of instructor.",,,,TU 4.00 ,,D,----F--,9:00A-12:50P,Whitaker / 135   ,"Widder, Barbour",Default - none,24,0,0
11,E62 BME 320B,Bioengineering Thermodynamics,3.0 Units,"This course covers the foundations of thermodynamics with strong emphasis on concepts and the translation of concepts. Topics to be covered include the first and second laws of thermodynamics, probabilistic descriptions of entropy, consequences of the first and second laws in ideal and non-ideal single- and multicomponent systems, free energies as descriptors of equilibria in laboratory and biological systems, chemical equilibria, phase equilibria, treatment of aqueous solvents and mixtures, colligative properties, thermodynamics of protein folding, and protein binding equilibria. The material, the lectures, and the homeworks emphasize learning that enables the translation of concepts into mathematical analysis. A strong background in differential calculus of multiple variables and differential equations (Math 217) is required. Emphasis is placed on regular homeworks and working in collaborative groups. The main textbook for the course will be ""Molecular Driving Forces: Statistical Thermodynamics in Chemistry and Biology"", 2nd edition by Ken A. Dill and Sarina Bromberg published by Garland Science. The lectures and course notes will also draw on other sources including the classical book by Herbert Callen.",,,,TU 3.00 ,,01,M-W----,11:30A-12:50P,Whitaker / 100   ,Pappu,Dec 17 2024 10:30AM - 12:30PM,75,0,0
12,E62 BME 366,Transport Phenomena in Biomedical Engineering,3.0 Units,"Many processes of importance in biology and medicine involve the transfer of mass, heat or momentum. Through the use of the differential control volume approach, the fundamental transport equations will be derived. Systematic derivation of differential equations appropriate for different types of transport problems will be explored. Solutions of the resulting differential equations for simple chemical/biological systems will then be sought. Macroscopic descriptions of fluid flow will be applied to the design of blood pumps for the heart. Unsteady mass transfer with diffusion, advection and chemical reactions will also be applied to the transport of proteins, metabolites and therapeutics throughout the body. Prerequisites: BME 240, Math 217, ESE 318 and ESE 319, BME 320B",,,,TU 3.00 ,,01,M-W----,2:30P-3:50P,Whitaker / 216   ,"Shao, J-Y, Rudra, J",Dec 16 2024  3:30PM -  5:30PM,50,0,0
13,E62 BME 401A,Senior Capstone Design A,2.0 Units,"A hands-on design experience to provide students practical application of engineering. Working in small teams, students will either meet with possible clients to discern a biomedical problem, or bring an original idea of their own to the class. The students will work on an original design or redesign of a component or system of biomedical engineering significance. The students will be taught how to craft a project scope with the required design specifications. The design experience will require application of knowledge and skills acquired in earlier coursework; it will incorporate engineering standards and realistic constraints that include most of the following considerations: economic, environmental, sustainability, manufacturability, ethical, health and safety, FDA, social, and political. Students will prepare written reports and present their designs orally to a panel of faculty members and industrial representatives. The final product of BME 401A will be a descriptive paper design of their solution. Prerequisite: BME Senior Standing",,,,TU 2.00 ,,01,M-W----,4:00P-5:20P,Whitaker / 100   ,"Klaesner, Schreiber, Rutz",No final,75,0,0
14,E62 BME 410,Service Learning Experience in Guangdong and Hong Kong,2.0 Units,"This pass/fail course is a 2-week international service-learning experience in conjunction with the faculty and students of our partner, Department of Biomedical Engineering at the Hong Kong Polytechnic University (PolyU). During the summer, students first attend an orientation at PolyU to learn about functional electrical stimulation (FES) and treating cerebral palsy with orthotic devices. The entire group then goes to a clinic in mainland China where they put into practice what they have learned, the former in patients who have suffered strokes and the latter in children with cerebral palsy - working in teams to diagnose, fit and fabricate orthotic devices. A written summary of the experience is the final product. Academic credits are awarded at the end of the fall semester following the summer experience.",,,,,,01,TBA,,TBA,Shao,No final,0,0,0
15,E62 BME 440,Biomedical Data Science,3.0 Units,"This course will cover data analysis, statistical methods, AI, machine learning, predictive modeling, and data visualization, with applications to medicine and health. As part of the course, BME faculty will present biomedical data science topics from their research areas. Students will learn to prepare, transform, visualize, validate, model, and communicate information about datasets, and they will design and implement an independent project to address a biomedical data science problem. Prior Python experience required. Prerequisites: E35 ESE 318, MEMS 201, or Math309; E35 ESE 326, ENG 328, Math 2200 or Math 3200; E62 BME 231 or E81 CSE 217A or equivalent courses",,,,TU 3.00 ,,01,-T-R---,11:30A-12:50P,Brauer Hall / 012   ,"Silva, Raman",Dec 16 2024  1:00PM -  3:00PM,43,0,0
16,E62 BME 465,Biosolid Mechanics,3.0 Units,"Introduction to the mechanical behaviors of biological tissues of musculoskeletal, cardiac and vascular systems. Topics to be covered include static force analysis and nonlinear optimization theory; linearly elastic models for stress-strain analysis and solutions to relevant problems in bioelasticity; models of active structures (e.g., muscles); strain energy methods and nonlinear tissue behaviors; and introductory theory for finite element analysis. Emphasis will be placed on modeling stress-strain relations with relevance to biological tissues. Prerequisites: BME 240 or equivalent and ESE 318 and ESE 319.",,,,TU 3.00 ,,01,M-W----,1:00P-2:20P,Whitaker / 218   ,Oyen,Default - none,0,0,0
17,E62 BME 470,Mathematics of Imaging Science,3.0 Units,"This course will expose students to a unified treatment of the mathematical properties of images and imaging. This will include an introduction to linear vector space theory, operator theory on Hilbert spaces, and concepts from applied functional analysis. Further, concepts from generalized functions, Fourier analysis, and Radon transform will be discussed. These tools will be applied to conduct deterministic analyses of imaging systems that are described as continuous-to-continuous, continuous-to-discrete, and discrete-to-discrete mappings from object properties to image data. In addition, imaging systems will be analyzed in a statistical framework where stochastic models for objects and images will be introduced. Prerequisite: Graduate standing or consent of instructor.",,,,,,01,M-W----,2:30P-3:50P,Whitaker / 218   ,"Jha, A",Dec 16 2024  3:30PM -  5:30PM,35,0,0
18,E62 BME 471,Bioelectric Phenomena,3.0 Units,This course is a quantitative introduction to the origins of bioelectricity with an emphasis on neural and cardiac electrophysiology. Topics will include electric fields and current flow in volume conductors; cell membrane channels and their role in generating membrane potentials; action potentials and their propagation in myelinated and unmyelinated axons as well as cardiac tissue. Minor topics of discussion will include both skeletal muscle and non-human (e.g. electric fish) sources of bioelectricity.,,,,TU 3.00 ,,01,M-W----,10:00A-11:20A,Whitaker / 218   ,"Moran, D",No final,75,0,0
